seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,ipfs_add,True,,29,1783315203514,179753,,True
2,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,fabric_post_task,True,,2593,1783315203543,179753,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,True
3,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,fabric_post_allocation,True,,2570,1783315206136,0,,True
4,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,fabric_post_snapshot,True,,2622,1783315208706,0,,True
5,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,fabric_query_confirmation,True,,516,1783315211328,0,,True
6,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,fabric_vote_1,True,,2625,1783315211844,0,,True
7,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,fabric_vote_2,True,,2519,1783315214469,0,,True
8,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,fabric_settlement,True,,2758,1783315216988,0,,True
9,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,fabric_query_final,True,,1133,1783315219746,0,,True
10,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-warmup-0000,ipfs_verify,True,,7,1783315220879,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,True
11,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,ipfs_add,True,,36,1783315220887,276805,,False
12,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,ipfs_add,True,,53,1783315220887,179753,,False
13,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,ipfs_add,True,,68,1783315220889,206175,,False
14,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,ipfs_add,True,,87,1783315220887,242679,,False
15,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,fabric_post_task,True,,2409,1783315220974,242679,QmX9a4g3M4NxbxfQ8X3uEhSSp876xUsdk7Z1Mn9xknevNY,False
16,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,fabric_post_task,True,,2426,1783315220957,206175,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,False
17,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,fabric_post_task,True,,2461,1783315220923,276805,QmcdLhPd1PmVDyfzcK3LTMmfHteto8wZpLvf3cvgfxYF7Z,False
18,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,fabric_post_task,True,,2445,1783315220940,179753,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,False
19,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,fabric_post_allocation,True,,2293,1783315223384,0,,False
20,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,fabric_post_allocation,True,,2293,1783315223385,0,,False
21,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,fabric_post_allocation,True,,2295,1783315223383,0,,False
22,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,fabric_post_allocation,True,,2297,1783315223383,0,,False
23,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,fabric_post_snapshot,True,,2483,1783315225677,0,,False
24,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,fabric_post_snapshot,True,,2483,1783315225678,0,,False
25,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,fabric_post_snapshot,True,,2481,1783315225680,0,,False
26,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,fabric_post_snapshot,True,,2486,1783315225678,0,,False
27,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,fabric_query_confirmation,True,,313,1783315228161,0,,False
28,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,fabric_query_confirmation,True,,314,1783315228161,0,,False
29,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,fabric_query_confirmation,True,,311,1783315228164,0,,False
30,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,fabric_query_confirmation,True,,316,1783315228160,0,,False
31,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,fabric_vote_1,True,,2251,1783315228475,0,,False
32,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,fabric_vote_1,True,,2253,1783315228474,0,,False
33,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,fabric_vote_1,True,,2251,1783315228476,0,,False
34,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,fabric_vote_1,True,,2255,1783315228475,0,,False
35,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,fabric_vote_2,True,,2432,1783315230727,0,,False
36,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,fabric_vote_2,True,,2434,1783315230726,0,,False
37,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,fabric_vote_2,True,,2434,1783315230727,0,,False
38,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,fabric_vote_2,True,,2432,1783315230730,0,,False
39,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,fabric_settlement,True,,1277,1783315233162,0,,False
40,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,fabric_settlement,True,,1278,1783315233161,0,,False
41,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,fabric_settlement,True,,1281,1783315233159,0,,False
42,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,fabric_settlement,True,,1283,1783315233160,0,,False
43,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,fabric_query_final,True,,749,1783315234439,0,,False
44,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,fabric_query_final,True,,750,1783315234439,0,,False
45,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,fabric_query_final,True,,746,1783315234443,0,,False
46,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,fabric_query_final,True,,752,1783315234440,0,,False
47,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0000,ipfs_verify,True,,7,1783315235189,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,False
48,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0003,ipfs_verify,True,,9,1783315235188,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,False
49,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0002,ipfs_verify,True,,8,1783315235189,0,QmcdLhPd1PmVDyfzcK3LTMmfHteto8wZpLvf3cvgfxYF7Z,False
50,b2-fabric-b64-c4-r4,b2-fabric-b64-c4-r4-task-0001,ipfs_verify,True,,7,1783315235192,0,QmX9a4g3M4NxbxfQ8X3uEhSSp876xUsdk7Z1Mn9xknevNY,False
