seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,ipfs_add,True,,36,1783270552374,149047,,True
2,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,fabric_post_task,True,,2531,1783270552410,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,fabric_post_allocation,True,,2517,1783270554941,0,,True
4,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,fabric_post_snapshot,True,,2484,1783270557458,0,,True
5,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,fabric_query_confirmation,True,,357,1783270559942,0,,True
6,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,fabric_vote_1,True,,2482,1783270560299,0,,True
7,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,fabric_vote_2,True,,2499,1783270562781,0,,True
8,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,fabric_settlement,True,,2501,1783270565280,0,,True
9,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,fabric_query_final,True,,1110,1783270567781,0,,True
10,b2-fabric-c1-r5,b2-fabric-c1-r5-warmup-0000,ipfs_verify,True,,8,1783270568891,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,ipfs_add,True,,25,1783270568900,149047,,False
12,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,fabric_post_task,True,,2486,1783270568925,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
13,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,fabric_post_allocation,True,,2526,1783270571411,0,,False
14,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,fabric_post_snapshot,True,,2481,1783270573937,0,,False
15,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,fabric_query_confirmation,True,,363,1783270576418,0,,False
16,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,fabric_vote_1,True,,2481,1783270576781,0,,False
17,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,fabric_vote_2,True,,2558,1783270579262,0,,False
18,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,fabric_settlement,True,,2538,1783270581820,0,,False
19,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,fabric_query_final,True,,1177,1783270584358,0,,False
20,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0000,ipfs_verify,True,,8,1783270585535,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
21,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0001,ipfs_add,True,,29,1783270585543,234739,,False
22,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0001,fabric_post_task,True,,2506,1783270585572,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
23,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0001,fabric_post_allocation,True,,2529,1783270588078,0,,False
24,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0001,fabric_post_snapshot,True,,2501,1783270590607,0,,False
25,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0001,fabric_query_confirmation,True,,359,1783270593108,0,,False
26,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0001,fabric_vote_1,True,,2454,1783270593467,0,,False
27,b2-fabric-c1-r5,b2-fabric-c1-r5-task-0001,fabric_vote_2,True,,2508,1783270595921,0,,False
