seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,ipfs_add,True,,25,1783316372960,179753,,True
2,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,fabric_post_task,True,,1429,1783316372985,179753,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,True
3,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,fabric_post_allocation,True,,2657,1783316374414,0,,True
4,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,fabric_post_snapshot,True,,2557,1783316377071,0,,True
5,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,fabric_query_confirmation,True,,406,1783316379628,0,,True
6,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,fabric_vote_1,True,,2536,1783316380034,0,,True
7,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,fabric_vote_2,True,,2560,1783316382570,0,,True
8,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,fabric_settlement,True,,2916,1783316385130,0,,True
9,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,fabric_query_final,True,,1211,1783316388046,0,,True
10,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-warmup-0000,ipfs_verify,True,,7,1783316389257,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,True
11,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-task-0000,ipfs_add,True,,40,1783316389266,179753,,False
12,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-task-0001,ipfs_add,True,,57,1783316389266,242679,,False
13,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-task-0003,ipfs_add,True,,71,1783316389268,206175,,False
14,b2-fabric-b64-c4-r5,b2-fabric-b64-c4-r5-task-0002,ipfs_add,True,,89,1783316389266,276805,,False
