seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,ipfs_add,True,,27,1783268006822,149047,,True
2,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,fabric_post_task,True,,2558,1783268006849,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,fabric_post_allocation,True,,2528,1783268009407,0,,True
4,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,fabric_post_snapshot,True,,2526,1783268011935,0,,True
5,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,fabric_query_confirmation,True,,420,1783268014461,0,,True
6,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,fabric_vote_1,True,,2588,1783268014881,0,,True
7,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,fabric_vote_2,True,,2513,1783268017469,0,,True
8,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,fabric_settlement,True,,2562,1783268019982,0,,True
9,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,fabric_query_final,True,,1340,1783268022544,0,,True
10,b2-fabric-c1-r2,b2-fabric-c1-r2-warmup-0000,ipfs_verify,True,,8,1783268023884,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,ipfs_add,True,,25,1783268023893,149047,,False
12,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,fabric_post_task,True,,2554,1783268023918,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
13,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,fabric_post_allocation,True,,2545,1783268026472,0,,False
14,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,fabric_post_snapshot,True,,2514,1783268029017,0,,False
15,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,fabric_query_confirmation,True,,379,1783268031531,0,,False
16,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,fabric_vote_1,True,,2516,1783268031910,0,,False
17,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,fabric_vote_2,True,,2495,1783268034426,0,,False
18,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,fabric_settlement,True,,2549,1783268036921,0,,False
19,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,fabric_query_final,True,,1178,1783268039470,0,,False
20,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0000,ipfs_verify,True,,8,1783268040648,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
21,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0001,ipfs_add,True,,30,1783268040656,234739,,False
22,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0001,fabric_post_task,True,,2516,1783268040686,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
23,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0001,fabric_post_allocation,True,,2487,1783268043202,0,,False
24,b2-fabric-c1-r2,b2-fabric-c1-r2-task-0001,fabric_post_snapshot,True,,2511,1783268045689,0,,False
